Player,Year,Masters_Top_25,Driving_Rank,Top_10's,Percent_BreakPar_Ranklog,Avg_Score_Ranklog,Money_Ranklog,Average_Drive_Distance,Percent_Fairway_Hit,Percent_Greens_Hit,Percent_Par3_Bird,Percent_Par4_Bird,Percent_Par5_Bird,Avg_scoreB4cut
David Edwards,1984,1.0,0.4504311673315872,0.9503111955773227,-0.6717905563250114,-1.2152391797055282,-1.380742509667678,-1.277177484834336,0.8022918517534712,0.6377189478074007,0.26033254325096633,0.09690511487318432,-0.3467721970822901,-0.30474697633046927
Bruce Lietzke,1984,0.0,0.46974239114721816,0.9503111955773227,-1.7512389678028129,-1.8958929215117597,-1.6727799860389856,-1.2832341040874078,0.696193706042357,4.39783548711729,1.4799781784948927,-0.5311089086028551,-1.0819896306225933,-0.40854882289930317
Pat McGowan,1984,0.0,0.50836483877848,-1.1362873669533464,0.6750738445802442,0.8224896999403852,0.7964286633836284,-1.3014039618466249,0.6855838914712467,-0.742477353432658,1.2212654679886052,-1.6292938587454482,-1.0636746055877815,1.3820330304130073
Wayne Levi,1984,1.0,0.5469872864097419,0.9503111955773227,-1.4676923798085404,-0.5450122718618203,-0.8434540545688897,-1.3195738196058402,1.2964060732080875,0.6141034217405548,-0.4305156837053834,-0.07772980074582063,0.3792877239406071,0.3699650263669263
Gary Koch,1984,0.0,0.5662985102253729,2.341376903931102,-1.3551649060739661,-3.0594781786301293,-2.468064719323504,-1.3256304388589122,0.8674664269760135,1.3488086771535122,0.052793775482186715,0.6040180429206821,-0.3049092827170059,-0.14039405259649052
Curtis Strange,1984,0.0,0.5856097340410038,0.254778341400433,-0.5418871213761647,-0.9065896281880138,-0.2418443782481193,-1.3316870581119855,0.5324994240880674,0.8712502611350912,0.408168377825988,0.34542403325407767,-0.7209219942220175,-0.14904420647723077
Gary Player,1984,1.0,0.6049209578566348,-1.1362873669533464,1.0805636943486834,0.608014992712613,1.0999242506712108,-1.349856915871201,0.737117276530931,-2.177776548828687,-0.6153104769241602,-3.5872199319354543,-0.005327801790441059,1.4944850308625814
Isao Aoki,1984,1.0,0.6628546293035277,-1.1362873669533464,0.484659345063119,-0.3247969996288288,0.392521611794736,-1.3619701543773464,0.31120900589060246,0.03945895411399152,-0.12915802091783973,-0.6251430939361656,-1.181414052240144,-0.14039405259649052
Ed Fiori,1984,0.0,0.6628546293035277,-1.1362873669533464,1.0979396555629555,0.958899856159665,1.0410583541127991,-1.3619701543773464,-1.0923178930878452,-1.9153818147526305,-1.8918160485430944,-1.7434782266501827,-1.4064272169535463,2.24704841848659
Morris Hatalsky,1984,0.0,0.6628546293035277,-1.1362873669533464,0.7816625744805096,1.0325154772029759,0.8358872443606112,-1.3619701543773464,-0.6664096224475178,-2.177776548828687,-0.6153104769241602,-0.9072456499360978,-1.416892945544867,2.7920081129729555
